location,key type,key ID,key status,display text,final_end
地牢,character,1,"1,3",你将在地牢的尸体运到了离地牢半里的空地上埋葬了起来,
地牢,character,1,0,那些被你亵渎的尸体还在地牢内，被某种力量吞噬着灵魂,
地牢,character,2,"1,3",断角的妖怪默默离开了地牢，他知道他再也无法回到原来的“家”了,
地牢,character,2,0,"断了角的妖怪被你拖出地牢火化了。
“或许它只是运气不好”
这个想法在你的脑海里一闪而过。",
地牢,object,2,2,牢房后面的房间里究竟是什么？那台可以吃人的机器是这座地牢的目的吗？,
地牢,final,,,"最大的问题是，你究竟是怎么被绑到地牢里的
你的记忆究竟去了哪里
宛如本能一般的“通灵术”是你遭受这些的理由吗？
你脑海中再次闪过一个陌生而又熟悉的词
“梵脉”
那个浑身穿着绿衣的家伙一定知道些什么
他也一定要为这座地牢里发生的事情付出代价
带着这样的想法，你向着南方客栈奔去",
南方客栈,character,4,"1,3",你安抚了客栈老板,
南方客栈,character,4,-1,你埋葬了客栈老板，并将客栈焚毁了,
南方客栈,object,14,1,将井中的尸体捞出并埋葬在客栈旁边的空地上,
南方客栈,object,8|12,3|2,"绿衣人的目标真的是贩卖私盐吗？
胆小的官兵看到这副场景跑了；胆大的官兵看到私盐就想着立功了
恐怕私盐只是他的障眼法罢了",
南方客栈,object,13|11,"2,-1|-1","那台机器究竟是什么？
“欢乐四弟电影”是什么？应该不是本土产物
是西域来的吗？不，西域没有那么高的技术
恐怕是天外之物",
南方客栈,final,,,"绿衣人不是善茬
但是那阻止不了你
他有太多的债要还
而且你也有太多的问题要问他。",
大漠地下,final,,,"苦修者将周围的沙粒涂在身上，让你割开掌心按在他的背上。
<p class=""painful-fadeIn"">这可以将痛觉转化为定位信标。</p>
你和苦修者盘腿而坐，他身上的温度却越来越高。
之后他的血液几乎沸腾，沙粒在身上变为特殊脉络，和你印象中的星空一样。
苦修者口吐白沫，两眼上翻，惨叫几乎要把你的脑袋震碎了。
你发现自身身体在莫名蒸发，同时从手掌开始剧烈疼痛蔓延全身，眼前发白。",
另一个世界,final,,,"<p class=""snake-fadeIn"">真是对牛弹琴</p>
你的面门被那人用手肘击打，
之后左肘立刻被铁钳般的力道反折至背后。
你被他扭送到了一个小房间内，
随后就听到门关上的声音。
<p class=""snake-fadeIn"">我先把你关这里面，你老实点</p>",
小仓库,final,,,"你终于从房间中逃出。
还没来得及感叹这个世界的奇异，
你又看到了惊人的一幕。",
实验室,final,,,"周围一片混乱
虽然有了一些常识，但是想要在这里存活，最好还是需要一个帮手
好人、而且还得是有能力的人
于是你不计鬣狗将你关起来的前嫌，将它拖动到了旁边带有红十字标志的房间里去",
医务室,final,,,"尽管你仍然能感受到鬣狗灵魂中有一部分抗拒你的通灵，
但是由于绿衣人的入侵，你还是进入了他的深层记忆。
现在的问题就是如何挽留他正在流逝的灵魂了。",
深层意识,final,,,"任务完成的瞬间，你弓身钻入生锈铁梯，污水腐臭味钻进鼻腔
爬出检修口时刺眼光线割开眼皮，枪管反光正来自战术背心浸汗的警卫
""移动即击毙""的低吼震响耳膜，喉结滚动时尝到枪油味，太阳穴随耳鸣突突狂跳
金属闷响炸裂耳膜，警卫瘫软前鬓狗的战术手电已精准敲击颈动脉窦
鬓狗扯下面罩露出擦伤的下颌：
<p class=""BOSS-fadeIn"">监控显示外围无增援，三十秒撤离窗口！</p>
<placeholder_for_img:boss_saved_you>",
恐怖分子基地,final,,,,
处决场,final,,,"没有出现另一个英雄或是奇迹，血从鬓狗的心脏处流出，身体前倾好像日本“土下座”的姿势。好似下一秒沙利叶就会因为这个姿势原谅他，然后鬓狗拍拍身子站起来和你重新一起行动。
左轮枪管烫得手心蜕皮，一旁沙利叶烤羊肉的火堆烤得你浑身发烫，你感觉自己透不上气来，马上就中暑昏过去了，眼前的景色愈发模糊。
直到沙利叶用手拍了拍你。
<p class=""liquid-fadeIn"">处决的精准度…胜过文艺复兴时期的雕塑家。现在我们是兄弟了。</p>
沙利叶勾着你的肩，将你领到了实验室中。伪造的“以太蝶”流动在你从未见过的机器罐中。
<p class=""liquid-fadeIn"">从石头和木棒到左轮枪，一直到核武器，武器一直在进化，但是战争从未改变。</p>
<p class=""liquid-fadeIn"">如果你从外太空看地球，那么你会发现，是看不到国界线的</p>
<p class=""liquid-fadeIn"">如果我们能够让所有人都被同一种思想统御，只有一个国家；那么将不再有任何战争，所有人都将发自内心地和我们向着同一个方向前进！</p>
<p class=""liquid-fadeIn"">而现在，这个目标就要实现了。“以太蝶”，它真正的作用，是追踪在不同维度之间的能量。有了它，我们终于能够追踪到所有能量和灵魂的源泉。到那时，便可以统御所有世界的所有灵魂。</p>

猛然间，你感受到鬣狗的心率不齐，灵魂躁动亦在加强，他正在找回它的“自我”。
你眼前的记忆正不断加速：沙利叶信息败露，恐怖分子被一举攻破，鬣狗擒拿沙利叶，最终定格在了鬣狗回到组织基地的场景下。",
记忆圣所,final,,,"<p class=""BOSS-fadeIn"">无论是谁看到了这封信，都代表我已经死了。</p>
<p class=""BOSS-fadeIn"">不必为我感到难过，我用三十年无亲的人生换了这张筹码。</p>
<p class=""BOSS-fadeIn"">沙利叶生性多疑，只有一个卧底计划十有八九无法成功，我也是九死一生。</p>
<p class=""BOSS-fadeIn"">但是倘若他自以为斩草除根，才能让藏得更深的你握住光明。</p>
<p class=""BOSS-fadeIn"">笑一个吧，看到这封信，想必你已经成功了。</p>
<p class=""BOSS-fadeIn"">不必为我感到悲伤。</p>

你感到鬣狗的灵魂平静了下来，不再尝试逃逸他的身体。你自己的灵能也正渐渐回到自己地身体。
现实世界，烈焰早已吞没走廊，鬣狗将还正在半睡不醒的你拖入了最后一间没被焚毁地房间。
你再一次看到一个不属于你世界的机械，但是有了从鬣狗那里获取的知识，你明确的知道那是什么。
<p class=""snake-fadeIn"">抱歉，现在只有在这一条路了。</p>
嗡鸣骤响，蓝紫漩涡在虚空中撕裂现实结构。电弧在裂口边缘游走，还未等你反应过来，跃迁装置开的门就已经将你吸入其中。",
壁画窟,character,12&11,"1,3&1,3",你和鬣狗劝阻画匠，让他回家，不要再想着去找绿衣人或自己的都料匠朋友了。,
壁画窟,character,12,"1,3",你劝阻画匠，让他回家，不要再想着去找绿衣人或自己的都料匠朋友了。,
壁画窟,character,12,-1,你将画匠尸体留在了他生前最后一个作品旁边。,
壁画窟,character,11,-1,这个来自异世界的特工被遗弃在了壁画窟内。,
壁画窟,character,11,"1,3",两人一同前往不明能量的源头。,
壁画窟,final,,,你隐约觉得这条路有些许熟悉…,
壁画窟x,character,12,"1,3",你无视了画匠，径直向着你的目的地前进。,
壁画窟x,character,12,-1,你将画匠尸体留在了他生前最后一个作品旁边。,
壁画窟x,final,,,"来自异世界的特工被遗弃在了壁画窟内。
而你隐约觉得你现在走的这条路有些许熟悉…",
九渊地宫外侧,final,,,"你和鬣狗小心地进入了地宫。
临走前，你听到鬣狗说了一句
<p class=""snake-fadeIn"">黑衣人逃进了茫茫沙漠,枪侠也跟着进入了沙漠。</p>",
九渊地宫外侧x,final,,,"你旋身扫踢神秘人膝窝。骨裂声中蒙面人踉跄后退，面纱掉落。
然而那却是鬓狗的模样，只是眼中无光，脸上还多了尸斑。
那人突然甩出烟雾弹向地宫逃去。
你不敢立刻追赶，害怕有诈。
稍作休息，你小心地进入了地宫。",
九渊地宫,final,,,你们穿过了僵尸所在的房间。,
九渊地宫x,final,,,你独自一人穿过了僵尸所在的房间。,
主墓室,final,,,你感受到了此地异常的灵魂能量流动，同时鬣狗戴上被他称为“能量目镜”的设备，细细观察后甩出匕首钉入穹顶青铜榫卯。齿轮爆裂声里千斤石门铰链哀鸣着升起，你看到一股不同寻常的光芒从下一个房间里传来。,
主墓室x,final,,,你使用通灵术，将棺材作为起点，感知其能量流动，途经巨大石碑，最终汇聚在了穹顶上的青铜榫卯，你将鬣狗的匕首飞出。齿轮爆裂声里千斤石门铰链哀鸣着升起，你看到一股不同寻常的光芒从下一个房间里传来。,
观星台,final,,,"无数的灵魂因为无处可去开始狂乱翻涌，地宫在剧烈的能量冲击下震颤崩裂。原本的宇宙幻象也急速褪色，露出后面夯实的黄土层。
几缕冰凉的魂体钻入你太阳穴，刹那间它们的回忆在脑海展开：绿衣人跪在乾清宫金砖上，鎏金香炉青烟里浮动着""以异人饲鼎""的朱批奏折。
<placeholder_for_img:under3>
不同的魂魄不断聚合分离，不同世界的通道在你眼前出现又消散：
童子们用红白相间的鎏金笼养会喷火的蜥蜴，令其相斗。
两名方士对坐抛洒符牌，黄纸落地竟化出手执莫邪剑的蒙面女子。
身着西方玄甲的骑士跪坐篝火旁，焦黑的脸上的腐肉庞随火焰摇曳重生为新的血肉。
霞光中有蓝色的彩虹天马踏虹而行，额生玉角的紫骊正以意念移动西式书籍。
忽然你脚下的地砖突然坍缩成星璇，你最后看到的，是鬣狗扑来的身影。",
观星台x,final,,,"无数的灵魂因为无处可去开始狂乱翻涌，地宫在剧烈的能量冲击下震颤崩裂。原本的宇宙幻象也急速褪色，露出后面夯实的黄土层。
几缕冰凉的魂体钻入你太阳穴，刹那间它们的回忆在脑海展开：绿衣人跪在乾清宫金砖上，鎏金香炉青烟里浮动着""以异人饲鼎""的朱批奏折。
<placeholder_for_img:under3>
不同的魂魄不断聚合分离，不同世界的通道在你眼前出现又消散：
童子们用红白相间的鎏金笼养会喷火的蜥蜴，令其相斗。
两名方士对坐抛洒符牌，黄纸落地竟化出手执莫邪剑的蒙面女子。
身着西方玄甲的骑士跪坐篝火旁，焦黑的脸上的腐肉庞随火焰摇曳重生为新的血肉。
霞光中有蓝色的彩虹天马踏虹而行，额生玉角的紫骊正以意念移动西式书籍。
忽然你脚下的地砖突然坍缩成星璇将你吸入，你最后看到的，是地宫墙壁的轰然倒塌。",
地心国,final,,,"忽然间，所有的石碑和中央的“触屏电脑”上都发出让你不安的红光。

<p class=""self_5"">警告，检测到操作者灵能不稳，即将出现灵魂散逸。</p>
<p class=""self_5"">即将自动执行安全操作，将操作者传送至原本灵魂信标位置。</p>
<p class=""self_5"">请准备好即将到来的疼痛。</p>

又一次，和苦修者将你传送至鬣狗世界一样，剧烈的疼痛向你的身体袭来，眼前发白。",
寒铁狱城,character,25,"1,3","在你走向梵脉前，苦修者也准备进入熔炉进行最后的苦修。
作为临别，他向你们透露了自己的“遗言”：
<p class=""painful-fadeIn"">实际上，我并不是来自于你们的世界。</p>
<p class=""painful-fadeIn"">我们的世界里，有一种叫做“减肥药”的东西，用来给那些希望自己变得苗条的人塑造体型。</p>
<p class=""painful-fadeIn"">人们宣传他时，会使用一些真实存在的健康概念混淆视听，诸如“湿气重”、“基础代谢低”这样的字眼，告诉别人“你肥胖不是你的错”，获取他们的好感和信任。</p>
<p class=""painful-fadeIn"">然后就开始直接或间接地告诉你，“我们的药片可以帮你解决那些问题，你无需忍受节食与运动的痛苦”，但是不会告诉你更多的细节，比如减下去的是水还是脂肪、你的身体是不是会出现一些隐性的负担、之后会不会又反弹回来……</p>
<p class=""painful-fadeIn"">在我看来，所谓道德也是如此：</p>
<p class=""painful-fadeIn"">讨厌你和你讨厌的人也自由了才叫自由；有人思考出和你观点相悖的结果也是独立思考。</p>
<p class=""painful-fadeIn"">和自己有利益冲突的人共情才叫共情；包容那些讨厌你与你讨厌的人才叫包容。</p>
<p class=""painful-fadeIn"">对我而言，不存在“符合道义的幸福”。人，唯有通过将他人获得与制造的痛苦背负于身的方式稀释他人痛苦，在这种痛苦中挣扎着度过一生，才是人间正道！</p>
<p class=""painful-fadeIn"">或许对于“幸福”的渴望会不断在我脑中引诱我，但是我绝不会妥协！</p>
说罢，苦修者进入熔炉。
半晌，苦修者痛苦的嚎叫声回荡在寒铁狱城内。
然后声音便渐渐缩小。",
寒铁狱城,character,24,"1,3","临走前，“鬣狗”叫住了你：
<p class=""snake-fadeIn"">有件事我必须对你说：</p>
<p class=""snake-fadeIn"">实际上我并不是鬣狗，鬣狗和鬓狗的经历实际上是我在自己世界里做一种叫做“VR训练”时模拟的。</p>
<p class=""snake-fadeIn"">当然，鬓狗最后去了哪里，我们都知道了。</p>
<p class=""snake-fadeIn"">我实际上并没有脱离组织，甚至所有有关绿衣人、梵脉的事情都是帮助组织调查的。</p>
<p class=""snake-fadeIn"">我的灵魂被很好地保护了，所以你通灵我时看不到相关地信息，实验室里也是假意昏迷，让你进入我伪装的记忆里。</p>
<p class=""snake-fadeIn"">原本我不打算告诉你这些，但是现在你要走了，牺牲自己阻止绿衣人，我觉得我没有理由继续欺瞒你。</p>
<p class=""snake-fadeIn"">虽然和你认识的时间很短，但是依然谢谢你。祝天长，夜爽。</p>",
寒铁狱城,final,,,"巨大的传送门剥离了你的灵魂，
你最后回头望了一眼自己的“尸体”，
知道自己回不来了。",
寒铁狱城,character,26,"1,3","在你走向梵脉前，苦修者也准备进入熔炉进行最后的苦修。
作为临别，他向你们透露了自己的“遗言”：
<p class=""painful-fadeIn"">实际上，我并不是来自于你们的世界。</p>
<p class=""painful-fadeIn"">我们的世界里，有一种叫做“减肥药”的东西，用来给那些希望自己变得苗条的人塑造体型。</p>
<p class=""painful-fadeIn"">人们宣传他时，会使用一些真实存在的健康概念混淆视听，诸如“湿气重”、“基础代谢低”这样的字眼，告诉别人“你肥胖不是你的错”，获取他们的好感和信任。</p>
<p class=""painful-fadeIn"">然后就开始直接或间接地告诉你，“我们的药片可以帮你解决那些问题，你无需忍受节食与运动的痛苦”，但是不会告诉你更多的细节，比如减下去的是水还是脂肪、你的身体是不是会出现一些隐性的负担、之后会不会又反弹回来……</p>
<p class=""painful-fadeIn"">在我看来，所谓道德也是如此：</p>
<p class=""painful-fadeIn"">讨厌你和你讨厌的人也自由了才叫自由；有人思考出和你观点相悖的结果也是独立思考。</p>
<p class=""painful-fadeIn"">和自己有利益冲突的人共情才叫共情；包容那些讨厌你与你讨厌的人才叫包容。</p>
<p class=""painful-fadeIn"">对我而言，不存在“符合道义的幸福”。人，唯有通过将他人获得与制造的痛苦背负于身的方式稀释他人痛苦，在这种痛苦中挣扎着度过一生，才是人间正道！</p>
<p class=""painful-fadeIn"">或许对于“幸福”的渴望会不断在我脑中引诱我，但是我绝不会妥协！</p>
说罢，苦修者进入熔炉。
半晌，苦修者痛苦的嚎叫声回荡在寒铁狱城内。
然后声音便渐渐缩小。",
寒铁狱城x,final,,,"巨大的传送门剥离了你的灵魂，
你最后回头望了一眼自己的“尸体”，
知道自己回不来了。",
